"","ID","fishing.effort.df","Solution","Category","geometry"
"1",1,3.9991869478047,"Inside","Escenario I: Ecológico ideal",c(-117.329103877999, 32.576945049323)
"2",2,36.9979007241724,"Inside","Escenario I: Ecológico ideal",c(-117.329103877999, 32.4769450689722)
"3",3,6310.46026070024,"Outside","Escenario I: Ecológico ideal",c(-117.329103878001, 32.376945088418)
"4",4,36220.2465838514,"Outside","Escenario I: Ecológico ideal",c(-117.329103878, 32.2769451076714)
"5",5,1650.93612926764,"Inside","Escenario I: Ecológico ideal",c(-117.229103878, 32.5769450493215)
"6",6,1650.9374090158,"Inside","Escenario I: Ecológico ideal",c(-117.229103878, 32.4769450689732)
"7",7,49655.8761095988,"Inside","Escenario I: Ecológico ideal",c(-117.229103877999, 32.3769450884185)
"8",8,15845.5174321303,"Outside","Escenario I: Ecológico ideal",c(-117.229103878, 32.2769451076702)
"9",9,26043.0460451827,"Outside","Escenario I: Ecológico ideal",c(-117.229103878, 32.17694512673)
"10",10,12.0634594463752,"Inside","Escenario I: Ecológico ideal",c(-117.129103878001, 32.5769450493205)
"11",11,14.0633814784384,"Inside","Escenario I: Ecológico ideal",c(-117.129103878, 32.4769450689732)
"12",12,15.9251769826891,"Inside","Escenario I: Ecológico ideal",c(-117.129103878, 32.3769450884181)
"13",13,68.6118215999538,"Inside","Escenario I: Ecológico ideal",c(-117.129103878001, 32.2769451076715)
"14",14,1011.92241643943,"Outside","Escenario I: Ecológico ideal",c(-117.129103878001, 32.176945126729)
"15",15,1145.12945959104,"Outside","Escenario I: Ecológico ideal",c(-117.129103878001, 32.0769451455717)
"16",16,1186.00324106843,"Outside","Escenario I: Ecológico ideal",c(-117.129103878002, 31.9769451642383)
"17",17,NA,"Inside","Escenario I: Ecológico ideal",c(-117.029103877999, 32.3769450884179)
"18",18,7.00236558167373,"Inside","Escenario I: Ecológico ideal",c(-117.029103878003, 32.2769451076723)
"19",19,200.021554519229,"Outside","Escenario I: Ecológico ideal",c(-117.029103878002, 32.1769451267275)
"20",20,284.029067199924,"Outside","Escenario I: Ecológico ideal",c(-117.029103878, 32.0769451455719)
"21",21,204.04221310162,"Outside","Escenario I: Ecológico ideal",c(-117.029103877999, 31.9769451642388)
"22",22,559.979767776121,"Outside","Escenario I: Ecológico ideal",c(-117.029103878001, 31.8769451826993)
"23",23,378.98557383952,"Outside","Escenario I: Ecológico ideal",c(-116.929103878, 32.276945107672)
"24",24,553.97730007573,"Outside","Escenario I: Ecológico ideal",c(-116.929103877998, 32.1769451267285)
"25",25,2070.85264469085,"Outside","Escenario I: Ecológico ideal",c(-116.929103877998, 32.076945145573)
"26",26,414.077424452279,"Outside","Escenario I: Ecológico ideal",c(-116.929103877998, 31.9769451642369)
"27",27,507.997144292867,"Outside","Escenario I: Ecológico ideal",c(-116.929103877996, 31.8769451827006)
"28",28,493.99622999853,"Outside","Escenario I: Ecológico ideal",c(-116.929103877996, 31.7769452009634)
"29",29,153.022372459284,"Outside","Escenario I: Ecológico ideal",c(-116.929103877996, 31.6769452190315)
"30",30,94.0060371433027,"Outside","Escenario I: Ecológico ideal",c(-116.929103877998, 31.5769452369138)
"31",31,76.0043584406854,"Outside","Escenario I: Ecológico ideal",c(-116.929103877999, 31.47694525459)
"32",32,1312.52941160851,"Outside","Escenario I: Ecológico ideal",c(-116.829103878001, 32.0769451455737)
"33",33,769.986197630666,"Inside","Escenario I: Ecológico ideal",c(-116.829103878002, 31.9769451642371)
"34",34,89.051541454511,"Inside","Escenario I: Ecológico ideal",c(-116.829103878002, 31.8769451826994)
"35",35,569.972037081693,"Inside","Escenario I: Ecológico ideal",c(-116.829103878001, 31.7769452009637)
"36",36,1940.8591118265,"Outside","Escenario I: Ecológico ideal",c(-116.829103878003, 31.6769452190327)
"37",37,186.088336618903,"Outside","Escenario I: Ecológico ideal",c(-116.829103878002, 31.5769452369131)
"38",38,120.001761611428,"Outside","Escenario I: Ecológico ideal",c(-116.829103878, 31.4769452545899)
"39",39,145.997698496559,"Outside","Escenario I: Ecológico ideal",c(-116.829103878, 31.3769452720867)
"40",40,NA,"Outside","Escenario I: Ecológico ideal",c(-116.729103877999, 31.976945164238)
"41",41,429.486796782914,"Inside","Escenario I: Ecológico ideal",c(-116.729103877999, 31.8769451826987)
"42",42,188.014812986874,"Inside","Escenario I: Ecológico ideal",c(-116.729103877999, 31.7769452009641)
"43",43,18436.4078072274,"Inside","Escenario I: Ecológico ideal",c(-116.729103877998, 31.6769452190331)
"44",44,18437.2921912945,"Outside","Escenario I: Ecológico ideal",c(-116.729103877998, 31.5769452369116)
"45",45,2.0045761717078,"Inside","Escenario I: Ecológico ideal",c(-116.729103877998, 31.4769452545898)
"46",46,948.918934894173,"Outside","Escenario I: Ecológico ideal",c(-116.729103877998, 31.376945272087)
"47",47,139.042183123785,"Outside","Escenario I: Ecológico ideal",c(-116.729103878, 31.2769452893822)
"48",48,NA,"Inside","Escenario I: Ecológico ideal",c(-116.629103878, 31.8769451826995)
"49",49,NA,"Inside","Escenario I: Ecológico ideal",c(-116.629103878, 31.7769452009638)
"50",50,9313.35383047631,"Inside","Escenario I: Ecológico ideal",c(-116.629103877999, 31.6769452190322)
"51",51,NA,"Inside","Escenario I: Ecológico ideal",c(-116.629103877999, 31.5769452369126)
"52",52,NA,"Inside","Escenario I: Ecológico ideal",c(-116.629103878002, 31.47694525459)
"53",53,276.026097012267,"Inside","Escenario I: Ecológico ideal",c(-116.629103878001, 31.3769452720869)
"54",54,355.987355064329,"Outside","Escenario I: Ecológico ideal",c(-116.629103877998, 31.2769452893817)
